Русь;Великое Московское княжество;Алексин;5
Русь;Великое Московское княжество;Коломна;5
Русь;Великое Московское княжество;Можайск;5
Русь;Великое Московское княжество;Москва;10
Русь;Великое Московское княжество;Муром;5
Русь;Великое Московское княжество;Руза;5
Русь;Великое Московское княжество;Суздаль;5
Русь;Вологодская земля;Белоозеро;5
Русь;Вологодская земля;Великий Устюг;5
Русь;Вологодская земля;Вологда;10
Русь;Вологодская земля;Кичмента;5
Русь;Вологодская земля;Кострома;5
Русь;Нижегородская земля;Арзамас;5
Русь;Нижегородская земля;Нижний Новгород;10
Русь;Ярославское княжество;Углич;5
Русь;Ярославское княжество;Ярославль;10
Большая Орда;Большая Орда;Сарай-Берке;10
Пермь;Великая Пермь;Пермь;10
Великое княжество Литовское;Верховское княжество;Брянск;10
Вятка;Вятская земля;Хлынов;10
Казанское ханство;Казанское ханство;Казань;10
Великий Новгород;Канинская земля;Усогорск;10
Королевство Швеция;Королевство Швеция;Выборг;10
Ливонский орден;Ливонский орден;Рига;10
Пермь;Малая Пермь;Усть-Вымь;10
Великий Новгород;Новгородская земля;Великий Новгород;10
Великий Новгород;Обонежье;Нюхча;10
Великий Новгород;Подвинье;Холмогоры;10
Великий Новгород;Псковское княжество;Псков;10
Рязань;Рязанское княжество;Переславль-Рязанский;10
Великое княжество Литовское;Северное Литовское княжество;Минск;10
Великое княжество Литовское;Смоленское княжество;Смоленск;10
Тверь;Тверское княжество;Тверь;10
Великое княжество Литовское;Торопецкое княжество;Торопец;10
Великий Новгород;Усть-Цильма;Усть-Цильма;10
Великое княжество Литовское;Чернигово-Северское княжество;Новгород-Северский;10
Великое княжество Литовское;Южное Литовское княжество;Киев;10
Крымское ханство;Крымское ханство;Бахчисарай;10
